subdomain,ip,provider,detail
www.ombuds.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.paap.due.uci.edu,34.216.237.15,AWS,AMAZON/us-west-2
www.paap.due.uci.edu,34.215.37.29,AWS,AMAZON/us-west-2
www.ovptl.uci.edu,34.216.237.15,AWS,AMAZON/us-west-2
www.ovptl.uci.edu,34.215.37.29,AWS,AMAZON/us-west-2
www.palcard.uci.edu,54.71.17.101,AWS,AMAZON/us-west-2
www.pda.grad.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.pda.grad.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.pda.grad.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.peacebuilding.uci.edu,100.23.5.176,AWS,AMAZON/us-west-2
www.peacebuilding.uci.edu,34.212.51.169,AWS,AMAZON/us-west-2
www.pathology.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.pathology.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.pathology.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.passport.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.passport.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.passport.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.pjp.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
www.personnel.socsci.uci.edu,100.23.5.176,AWS,AMAZON/us-west-2
www.personnel.socsci.uci.edu,34.212.51.169,AWS,AMAZON/us-west-2
www.photolympics.computerstore.uci.edu,74.205.225.77,Other,"AS7381 SRS-6-Z-7381 - BroadbandONE, LLC, US"
www.physci.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.physci.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.physci.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.plannedgiving.uci.edu,104.19.236.119,Cloudflare,edge
www.plannedgiving.uci.edu,104.19.237.119,Cloudflare,edge
www.phibetakappa.uci.edu,34.215.37.29,AWS,AMAZON/us-west-2
www.phibetakappa.uci.edu,34.216.237.15,AWS,AMAZON/us-west-2
www.plampron.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
www.police.uci.edu,52.36.18.78,AWS,AMAZON/us-west-2
www.police.uci.edu,184.33.172.60,AWS,AMAZON/us-west-2
www.news.uci.edu,35.160.148.34,AWS,AMAZON/us-west-2
www.news.uci.edu,35.83.96.59,AWS,AMAZON/us-west-2
www.pratikshahlab.cohs.uci.edu,35.80.145.4,AWS,AMAZON/us-west-2
www.neurology.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.planningandsustainability.uci.edu,35.80.145.4,AWS,AMAZON/us-west-2
www.neurology.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.neurology.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.oir.uci.edu,130.211.29.77,GCP,Google Cloud/global
www.plikuslab.bio.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.plikuslab.bio.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.plikuslab.bio.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.policies.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.policies.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.policies.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.ncarp.sandbox.lib.uci.edu,157.245.185.55,DigitalOcean,"AS14061 DIGITALOCEAN-ASN - DigitalOcean, LLC, US"
www.polisci.uci.edu,100.23.5.176,AWS,AMAZON/us-west-2
www.polisci.uci.edu,34.212.51.169,AWS,AMAZON/us-west-2
www.nextcenter.socsci.uci.edu,34.212.51.169,AWS,AMAZON/us-west-2
www.nextcenter.socsci.uci.edu,100.23.5.176,AWS,AMAZON/us-west-2
www.neuromechanics.bio.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.neuromechanics.bio.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.neuromechanics.bio.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.physiology.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.physiology.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.physiology.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.pmacslab.eng.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.pmacslab.eng.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.pmacslab.eng.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.newkirkcenter.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.newkirkcenter.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.newkirkcenter.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.physsci.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.physsci.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.physsci.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.physastroblog.ps.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.physastroblog.ps.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.phit.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.physastroblog.ps.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.phit.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.phit.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.nano.eng.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.nano.eng.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.nano.eng.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.procurement.uci.edu,54.71.17.101,AWS,AMAZON/us-west-2
www.pmr.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.pmr.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.pmr.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.pro.uci.edu,100.20.109.51,AWS,AMAZON/us-west-2
www.pro.uci.edu,32.184.219.143,AWS,AMAZON/us-west-2
www.ppe.socsci.uci.edu,34.212.51.169,AWS,AMAZON/us-west-2
www.ppe.socsci.uci.edu,100.23.5.176,AWS,AMAZON/us-west-2
www.pov.cogsci.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.pov.cogsci.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.pov.cogsci.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.privacy.uci.edu,54.71.17.101,AWS,AMAZON/us-west-2
www.prs.uci.edu,54.71.17.101,AWS,AMAZON/us-west-2
www.radiology.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.radiology.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.radiology.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.networkedsystems.uci.edu,16.147.127.77,AWS,AMAZON/us-west-2
www.psac.uci.edu,35.80.145.4,AWS,AMAZON/us-west-2
www.parents.uci.edu,184.33.177.238,AWS,AMAZON/us-west-2
www.parents.uci.edu,100.20.67.51,AWS,AMAZON/us-west-2
www.realestate.uci.edu,44.230.166.173,AWS,AMAZON/us-west-2
www.realestate.uci.edu,52.88.192.85,AWS,AMAZON/us-west-2
www.purchasing.uci.edu,54.71.17.101,AWS,AMAZON/us-west-2
www.programs.merage.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.programs.merage.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.programs.merage.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.radonc.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.radonc.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.radonc.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.malaria.bio.uci.edu,52.40.165.7,AWS,AMAZON/us-west-2
www.malaria.bio.uci.edu,52.10.250.14,AWS,AMAZON/us-west-2
www.psychlaw.soceco.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.psychlaw.soceco.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.psychlaw.soceco.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.psychology.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.psychology.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.psychology.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.racialhealing.uci.edu,34.212.51.169,AWS,AMAZON/us-west-2
www.racialhealing.uci.edu,100.23.5.176,AWS,AMAZON/us-west-2
www.racialjustice.uci.edu,34.212.51.169,AWS,AMAZON/us-west-2
www.racialjustice.uci.edu,100.23.5.176,AWS,AMAZON/us-west-2
www.rcpsl.eng.uci.edu,3.139.126.51,AWS,AMAZON/us-east-2
www.rcpsl.eng.uci.edu,3.135.41.1,AWS,AMAZON/us-east-2
www.rcpsl.eng.uci.edu,3.133.52.101,AWS,AMAZON/us-east-2
www.research.socsci.uci.edu,100.23.5.176,AWS,AMAZON/us-west-2
